,Make,Model,Transmission,Drive_configuration,Engine_capacity,Body_type,Seating,Fuel,crsp_ksh
0,Aiways,U5,Automatic transmission,2WD,,SUV,5,ELECTRIC,5910344.999999999
1,Aiways,U6,Automatic transmission,2WD,,SUV,5,ELECTRIC,8232266.249999998
2,Audi,3.0TFSI QUATTRO S LINE PACKAGE,Automatic transmission,4WD,3000.0,SUV,,PETROL,16210628.903571429
3,Audi,A1 SPORTBACK 1.0 TFSI,Automatic transmission,2WD,1000.0,HATCHBACK,,PETROL,5953578.079166668
4,Audi,A1 SPORTBACK 1ST EDITION,Automatic transmission,2WD,1500.0,HATCHBACK,,PETROL,8573479.22291667
5,Audi,A1 SPORTBACK 25 TFSI,Automatic transmission,2WD,1500.0,HATCHBACK,,PETROL,6633385.022916667
6,Audi,A1 SPORTBACK 25 TFSI ADVANCED,Automatic transmission,2WD,990.0,HATCHBACK,,PETROL,6211139.34375
7,Audi,A1 SPORTBACK 25 TFSI S LINE,Automatic transmission,2WD,1000.0,HATCHBACK,,PETROL,9024533.925
8,Audi,A1 SPORTBACK 35 TFSI ADVANCED,Automatic transmission,2WD,1500.0,HATCHBACK,,PETROL,5688277.077083334
9,Audi,A1 SPORTBACK 35 TFSI S LINE,Automatic transmission,2WD,1500.0,HATCHBACK,,PETROL,7845191.4234375
10,Audi,A1 SPORTBACK CITYCARVER BLACK STYLE PLUS,Automatic transmission,2WD,1000.0,HATCHBACK,,PETROL,8158328.3031250015
11,Audi,A1 SPORTBACK CITYCARVER LIMITED EDITION,Automatic transmission,2WD,990.0,HATCHBACK,,PETROL,11355484.868750002
12,Audi,A1 SPORTBACK MIDNIGHT LIMITED,Automatic transmission,2WD,1000.0,HATCHBACK,,PETROL,5429425.856250001
13,Audi,A3 SEDAN 1.4 TFSI,Automatic transmission,2WD,1400.0,SEDAN,,PETROL,6619134.077678572
14,Audi,A3 SEDAN 1.4 TFSI SPORT S LINE PACKAGE,Automatic transmission,2WD,1400.0,SEDAN,,PETROL,8844308.608928572
15,Audi,A3 SEDAN 30 TFSI ADVANCED,Automatic transmission,2WD,1000.0,SEDAN,,PETROL,6875789.301562498
16,Audi,A3 SEDAN 30 TFSI SPORT,Automatic transmission,2WD,1400.0,SEDAN,,PETROL,6912445.558333334
17,Audi,A3 SEDAN 40 TFSI QUATTRO S LINE,Automatic transmission,2WD,2000.0,SEDAN,,PETROL,7644850.3285714295
18,Audi,A3 SEDAN 40 TFSI QUATTRO SIGNATURE EDITION,Automatic transmission,2WD,2000.0,SEDAN,,PETROL,7406694.249999999
19,Audi,A3 SEDAN S LINE BLACK STYLING,Automatic transmission,2WD,1400.0,SEDAN,,PETROL,7433050.401562501
20,Audi,A3 SEDAN S LINE TECHNO LIMITED,Automatic transmission,2WD,1400.0,SEDAN,,PETROL,9227978.453571431
21,Audi,A3 SPORTBACK 30 TFSI,Automatic transmission,2WD,1400.0,HATCHBACK,,PETROL,5353748.4229166685
22,Audi,A3 SPORTBACK 30 TFSI ADVANCED,Automatic transmission,2WD,1000.0,HATCHBACK,,PETROL,4706727.8671875
23,Audi,A3 SPORTBACK 30 TFSI S LINE,Automatic transmission,2WD,1000.0,HATCHBACK,,PETROL,7929361.068750001
24,Audi,A3 SPORTBACK 30 TFSI SPORT,Automatic transmission,2WD,1000.0,HATCHBACK,,PETROL,5161437.445312499
25,Audi,A3 SPORTBACK 30 TFSI SPORT SIGNATURE EDITION,Automatic transmission,2WD,1400.0,HATCHBACK,,PETROL,3806292.334821429
26,Audi,A3 SPORTBACK 40 TFSI QUATTRO ADVANCED,Automatic transmission,2WD,2000.0,WAGON,,PETROL,8220505.869642857
27,Audi,A3 SPORTBACK 40 TFSI QUATTRO S LINE,Automatic transmission,2WD,2000.0,WAGON,,PETROL,8105314.451785714
28,Audi,A3 SPORTBACK S LINE TECHNO LIMITED,Automatic transmission,2WD,1400.0,HATCHBACK,,PETROL,9285473.646428574
29,Audi,A4 2.0TFSI QUATTRO TUXEDO STYLE,Automatic transmission,4WD,2000.0,SEDAN,,PETROL,9857611.125
30,Audi,A4 35TDI S-LINE,Automatic transmission,2WD,2000.0,SEDAN,,PETROL,8502189.595312499
31,Audi,A4 35TFSI ADVANCED,Automatic transmission,2WD,2000.0,SEDAN,,PETROL,7192942.635937499
32,Audi,A4 35TFSI MEISTERSTUECK,Automatic transmission,2WD,1400.0,SEDAN,,PETROL,9081614.4890625
33,Audi,A4 35TFSI MEISTERSTUECK,Automatic transmission,2WD,2000.0,SEDAN,,PETROL,7881867.225
34,Audi,A4 35TFSI SPORT,Automatic transmission,2WD,1400.0,SEDAN,,PETROL,10539103.80703125
35,Audi,A4 40TFSI MEISTERSTUECK S LINE PACKAGE,Automatic transmission,2WD,2000.0,SEDAN,,PETROL,9026879.3
36,Audi,A4 45TFSI QUATTRO ADVANCED,Automatic transmission,2WD,2000.0,SEDAN,,PETROL,8242398.27
37,Audi,A4 45TFSI QUATTRO S-LINE,Automatic transmission,2WD,2000.0,SEDAN,,PETROL,10058140.687499998
38,Audi,A4 45TFSI QUATTRO SPORT S LINE PACKAGE,Automatic transmission,2WD,2000.0,SEDAN,,PETROL,9321458.399999999
39,Audi,A4 ALLROAD QUATTRO,Automatic transmission,4WD,2000.0,WAGON,,HYBRID,9847056.9375
40,Audi,A4 ALLROAD QUATTRO ABSOLUTE,Automatic transmission,2WD,2000.0,WAGON,,PETROL,10883478.149999999
41,Audi,A4 ALLROAD QUATTRO BASE GRADE,Automatic transmission,2WD,2000.0,WAGON,,PETROL,11549975.090625
42,Audi,A4 AVANT 1.4TFSI TUXEDO STYLE,Automatic transmission,2WD,1400.0,WAGON,,PETROL,9680753.097321428
43,Audi,A4 AVANT 35 TDI ADVANCED,Automatic transmission,2WD,2000.0,WAGON,,HYBRID,7576147.59375
44,Audi,A4 AVANT 35 TDI S-LINE,Automatic transmission,2WD,2000.0,WAGON,,DIESEL,8797706.845312499
45,Audi,A4 AVANT 35 TFSI SPORT,Automatic transmission,2WD,1400.0,WAGON,,PETROL,8051261.934374998
46,Audi,A4 AVANT 45 TFSI QUATTRO MEISTERSTUECK,Automatic transmission,2WD,2000.0,WAGON,,PETROL,9630109.75
47,Audi,A4 AVANT BLACK STYLE PLUS,Automatic transmission,2WD,2000.0,WAGON,,PETROL,9981245.892857142
48,Audi,A4 BLACK STYLE PLUS,Automatic transmission,2WD,2000.0,SEDAN,,PETROL,8795859.862499999
49,Audi,A5 45TFSI QUATTRO SPORT,Automatic transmission,4WD,2000.0,WAGON,,PETROL,8564512.0725
50,Audi,A5 CABRIOLET 2.0TFSI QUATTRO SPORT,Automatic transmission,4WD,2000.0,CONVERTIBLE,,PETROL,19275564.95357143
51,Audi,A5 SPORTBACK 40TFSI SPORT,Automatic transmission,2WD,2000.0,WAGON,,PETROL,9819146.975
52,Audi,A5 SPORTBACK 45TFSI QUATTRO S LINE,Automatic transmission,4WD,2000.0,SEDAN,,PETROL,15353809.807500001
53,Audi,A5 SPORTBACK 45TFSI QUATTRO SPORT,Automatic transmission,4WD,2000.0,SEDAN,,PETROL,15687216.590625
54,Audi,A5 SPORTBACK BLACK STYLE PLUS,Automatic transmission,2WD,2000.0,SEDAN,,DIESEL,10221881.367857143
55,Audi,A5 SPORTBACK S LINE COMPETITION PLUS,Automatic transmission,4WD,2000.0,SEDAN,,PETROL,14027834.460937496
56,Audi,A6 2.0 TFSI QUATTRO S LINE PACKAGE,Automatic transmission,4WD,2000.0,SEDAN,,PETROL,10653095.314285714
57,Audi,A6 45 TFSI QUATTRO,Automatic transmission,4WD,2000.0,SEDAN,,HYBRID,12511637.475000001
58,Audi,A6 45 TFSI QUATTRO SPORT,Automatic transmission,4WD,2000.0,SEDAN,,PETROL,21151194.846428573
59,Audi,A6 45 TFSI QUATTRO SPORT S LINE PACKAGE,Automatic transmission,2WD,2000.0,SEDAN,,PETROL,12713339.725
60,Audi,A6 45 TFSI QUATTRO SPORT S LINE PACKAGE,Automatic transmission,4WD,2000.0,WAGON,,HYBRID,10269928.05
61,Audi,A6 55 TFSI QUATTRO DEBUT PACKAGE,Automatic transmission,4WD,3000.0,SEDAN,,PETROL,11766863.643749999
62,Audi,A6 55 TFSI QUATTRO S LINE,Automatic transmission,4WD,2000.0,WAGON,,HYBRID,9637732.21875
63,Audi,A6 AVANT,Automatic transmission,4WD,2000.0,WAGON,,PETROL,13009443.318750001
64,Audi,A6 AVANT 40 TDI QUATTRO S LINE,Automatic transmission,4WD,2000.0,WAGON,,DIESEL,15158158.624999998
65,Audi,A6 AVANT 40 TDI QUATTRO SPORT,Automatic transmission,4WD,2000.0,WAGON,,DIESEL,12679097.25
66,Audi,A6 AVANT 40 TDI QUATTRO SPORT S LINE PACKAGE,Automatic transmission,4WD,2000.0,WAGON,,PETROL,16449334.47
67,Audi,A6 AVANT 45 TFSI QUATTRO S LINE,Automatic transmission,4WD,2000.0,WAGON,,PETROL,11542360.998214286
68,Audi,A6 AVANT 45 TFSI QUATTRO SPORT,Automatic transmission,4WD,2000.0,WAGON,,PETROL,13682448.674999999
69,Audi,A6 AVANT 45 TFSI QUATTRO SPORT S LINE PACKAGE,Automatic transmission,4WD,2000.0,WAGON,,PETROL,15983683.7175
70,Audi,A7 SPORTBACK,Automatic transmission,4WD,3000.0,SEDAN,,PETROL,15980246.067857143
71,Audi,A7 SPORTBACK 2.0 TFSI QUATTRO,Automatic transmission,4WD,2000.0,SEDAN,,PETROL,11481749.807142857
72,Audi,A7 SPORTBACK 40TDI QUATTRO S LINE PACKAGE,Automatic transmission,4WD,2000.0,SEDAN,,PETROL,13158960.974999998
73,Audi,A7 SPORTBACK 45TFSI QUATTRO,Automatic transmission,4WD,2000.0,SEDAN,,PETROL,16791410.764285713
74,Audi,A7 SPORTBACK 45TFSI QUATTRO S LINE PACKAGE,Automatic transmission,4WD,2000.0,SEDAN,,PETROL,15831281.25
75,Audi,A7 SPORTBACK 55 TFSI QUATTRO 1ST EDITION,Automatic transmission,4WD,3000.0,SEDAN,,HYBRID,20322540.353571422
76,Audi,A7 SPORTBACK 55 TFSI QUATTRO S LINE,Automatic transmission,4WD,2000.0,SEDAN,,HYBRID,16967967.24375
77,Audi,A8,Automatic transmission,4WD,4000.0,SEDAN,,HYBRID,19975006.036607146
78,Audi,A8 55TFSI QUATTRO,Automatic transmission,4WD,3000.0,SEDAN,,PETROL,18588386.83125
79,Audi,A8 60TFSI E QUATTRO,Automatic transmission,4WD,3000.0,SEDAN,,HYBRID,23583181.194642857
80,Audi,A8 60TFSI QUATTRO,Automatic transmission,4WD,4000.0,SEDAN,,HYBRID,16130015.014285717
81,Audi,E-TRON 50 QUATTRO ADVANCED,Automatic transmission,4WD,,WAGON,,ELECTRIC,14782195.012500001
